tod,entry,exit,trip_id,reliability
515,9,10,09_10,0
515,9,11,09_11,0
515,9,12,09_12,0
515,10,10,10_10,0
515,10,11,10_11,0
515,10,12,10_12,0
515,11,11,11_11,0
515,11,12,11_12,0
515,12,12,12_12,0
515,13,13,13_13,0
515,13,14,13_14,0
515,13,15,13_15,0
515,13,16,13_16,0
515,13,17,13_17,0
515,13,18,13_18,0
515,13,20,13_20,0
515,13,21,13_21,0
515,13,22,13_22,0
515,13,23,13_23,0
515,14,14,14_14,0
515,14,15,14_15,0
515,14,16,14_16,0
515,14,17,14_17,0
515,14,18,14_18,0
515,14,20,14_20,0
515,14,21,14_21,0
515,14,22,14_22,0
515,14,23,14_23,0
515,15,15,15_15,0
515,15,16,15_16,0
515,15,17,15_17,0
515,15,18,15_18,0
515,15,20,15_20,0
515,15,21,15_21,0
515,15,22,15_22,0
515,15,23,15_23,0
515,16,16,16_16,0
515,16,17,16_17,0
515,16,18,16_18,0
515,16,20,16_20,0
515,16,21,16_21,0
515,16,22,16_22,0
515,16,23,16_23,0
515,17,17,17_17,0
515,17,18,17_18,0
515,17,20,17_20,0
515,17,21,17_21,0
515,17,22,17_22,0
515,17,23,17_23,0
515,18,21,18_21,0
515,19,19,19_19,0
515,19,20,19_20,0
515,19,21,19_21,0
515,19,22,19_22,0
515,19,23,19_23,0
515,20,20,20_20,0
515,20,21,20_21,0
515,20,22,20_22,0
515,20,23,20_23,0
515,21,21,21_21,0
515,21,22,21_22,0
515,21,23,21_23,0
515,22,22,22_22,0
515,23,23,23_23,0
520,3,3,03_03,0
520,3,5,03_05,0
520,3,6,03_06,0
520,3,7,03_07,0
520,3,9,03_09,0
520,3,10,03_10,0
520,3,11,03_11,0
520,3,12,03_12,0
520,4,4,04_04,0
520,4,5,04_05,0
520,4,6,04_06,0
520,4,7,04_07,0
520,4,9,04_09,0
520,4,10,04_10,0
520,4,11,04_11,0
520,4,12,04_12,0
520,5,5,05_05,0
520,5,6,05_06,0
520,5,7,05_07,0
520,5,9,05_09,0
520,5,10,05_10,0
520,5,11,05_11,0
520,5,12,05_12,0
520,6,6,06_06,0
520,6,7,06_07,0
520,6,9,06_09,0
520,6,10,06_10,0
520,6,11,06_11,0
520,6,12,06_12,0
520,7,7,07_07,0
520,8,8,08_08,0
520,8,9,08_09,0
520,8,10,08_10,0
520,8,11,08_11,0
520,8,12,08_12,0
520,9,9,09_09,0
520,9,10,09_10,0
520,9,11,09_11,0
520,9,12,09_12,0
520,10,10,10_10,0
520,10,11,10_11,0
520,10,12,10_12,0
520,11,11,11_11,0
520,11,12,11_12,0
520,12,12,12_12,0
520,13,13,13_13,0
520,13,14,13_14,0
520,13,15,13_15,0
520,13,16,13_16,1.666666666666622e-4
520,13,17,13_17,1.6666666666667607e-4
520,13,18,13_18,1.6666666666667607e-4
520,13,20,13_20,1.6666666666667607e-4
520,13,21,13_21,1.666666666666483e-4
520,13,22,13_22,1.6666666666670382e-4
520,13,23,13_23,1.6666666666670382e-4
520,14,14,14_14,0
520,14,15,14_15,0
520,14,16,14_16,0
520,14,17,14_17,0
520,14,18,14_18,0
520,14,20,14_20,0
520,14,21,14_21,0
520,14,22,14_22,0
520,14,23,14_23,0
520,15,15,15_15,0
520,15,16,15_16,0
520,15,17,15_17,0
520,15,18,15_18,0
520,15,20,15_20,0
520,15,21,15_21,0
520,15,22,15_22,0
520,15,23,15_23,0
520,16,16,16_16,0
520,16,17,16_17,0
520,16,18,16_18,0
520,16,20,16_20,0
520,16,21,16_21,0
520,16,22,16_22,0
520,16,23,16_23,0
520,17,17,17_17,0
520,17,18,17_18,0
520,17,20,17_20,0
520,17,21,17_21,0
520,17,22,17_22,0
520,17,23,17_23,0
520,18,21,18_21,0
520,19,19,19_19,0
520,19,20,19_20,0
520,19,21,19_21,0
520,19,22,19_22,0
520,19,23,19_23,0
520,20,20,20_20,0
520,20,21,20_21,0
520,20,22,20_22,0
520,20,23,20_23,0
520,21,21,21_21,0
520,21,22,21_22,0
520,21,23,21_23,0
520,22,22,22_22,0
520,23,23,23_23,0
525,3,3,03_03,0
525,3,5,03_05,0
525,3,6,03_06,0
525,3,7,03_07,0
525,3,9,03_09,0
525,3,10,03_10,0
525,3,11,03_11,0
525,3,12,03_12,0
525,4,4,04_04,0
525,4,5,04_05,0
525,4,6,04_06,0
525,4,7,04_07,0
525,4,9,04_09,0
525,4,10,04_10,0
525,4,11,04_11,0
525,4,12,04_12,0
525,5,5,05_05,0
525,5,6,05_06,0
525,5,7,05_07,0
525,5,9,05_09,0
525,5,10,05_10,0
525,5,11,05_11,0
525,5,12,05_12,0
525,6,6,06_06,0
525,6,7,06_07,0
525,6,9,06_09,0
525,6,10,06_10,0
525,6,11,06_11,0
525,6,12,06_12,0
525,7,7,07_07,0
525,8,8,08_08,0
525,8,9,08_09,0
525,8,10,08_10,0
525,8,11,08_11,0
525,8,12,08_12,0
525,9,9,09_09,0
525,9,10,09_10,0
525,9,11,09_11,0
525,9,12,09_12,0
525,10,10,10_10,0
525,10,11,10_11,0
525,10,12,10_12,0
525,11,11,11_11,0
525,11,12,11_12,0
525,12,12,12_12,0
525,13,13,13_13,0
525,13,14,13_14,0
525,13,15,13_15,0
525,13,16,13_16,2.7777777777777957e-4
525,13,17,13_17,3.277777777777602e-4
525,13,18,13_18,3.055555555555589e-4
525,13,20,13_20,3.3333333333335213e-4
525,13,21,13_21,3.333333333332966e-4
525,13,22,13_22,3.472222222221655e-4
525,13,23,13_23,3.472222222221655e-4
525,14,14,14_14,0
525,14,15,14_15,0
525,14,16,14_16,3.2777777777778794e-4
525,14,17,14_17,3.611111111111176e-4
525,14,18,14_18,3.555555555555395e-4
525,14,20,14_20,3.6111111111108984e-4
525,14,21,14_21,3.6111111111114536e-4
525,14,22,14_22,3.8333333333331887e-4
525,14,23,14_23,3.8333333333331887e-4
525,15,15,15_15,0
525,15,16,15_16,3.0555555555554503e-4
525,15,17,15_17,3.3333333333333826e-4
525,15,18,15_18,3.0555555555554503e-4
525,15,20,15_20,3.3333333333335213e-4
525,15,21,15_21,3.3333333333335213e-4
525,15,22,15_22,3.6111111111114536e-4
525,15,23,15_23,3.6111111111114536e-4
525,16,16,16_16,0
525,16,17,16_17,0
525,16,18,16_18,0
525,16,20,16_20,0
525,16,21,16_21,0
525,16,22,16_22,0
525,16,23,16_23,0
525,17,17,17_17,0
525,17,18,17_18,0
525,17,20,17_20,0
525,17,21,17_21,0
525,17,22,17_22,0
525,17,23,17_23,0
525,18,21,18_21,0
525,19,19,19_19,0
525,19,20,19_20,0
525,19,21,19_21,0
525,19,22,19_22,0
525,19,23,19_23,0
525,20,20,20_20,0
525,20,21,20_21,0
525,20,22,20_22,0
525,20,23,20_23,0
525,21,21,21_21,0
525,21,22,21_22,0
525,21,23,21_23,0
525,22,22,22_22,0
525,23,23,23_23,0
530,3,3,03_03,0
530,3,5,03_05,0
530,3,6,03_06,0
530,3,7,03_07,0
530,3,9,03_09,0
530,3,10,03_10,0
530,3,11,03_11,0
530,3,12,03_12,0
530,4,4,04_04,0
530,4,5,04_05,0
530,4,6,04_06,0
530,4,7,04_07,0
530,4,9,04_09,0
530,4,10,04_10,0
530,4,11,04_11,0
530,4,12,04_12,0
530,5,5,05_05,0
530,5,6,05_06,0
530,5,7,05_07,0
530,5,9,05_09,0
530,5,10,05_10,0
530,5,11,05_11,0
530,5,12,05_12,0
530,6,6,06_06,0
530,6,7,06_07,0
530,6,9,06_09,0
530,6,10,06_10,0
530,6,11,06_11,0
530,6,12,06_12,0
530,7,7,07_07,0
530,8,8,08_08,0
530,8,9,08_09,0
530,8,10,08_10,0
530,8,11,08_11,0
530,8,12,08_12,0
530,9,9,09_09,0
530,9,10,09_10,0
530,9,11,09_11,0
530,9,12,09_12,0
530,10,10,10_10,0
530,10,11,10_11,0
530,10,12,10_12,0
530,11,11,11_11,0
530,11,12,11_12,0
530,12,12,12_12,0
530,13,13,13_13,0
530,13,14,13_14,2.500000000000002e-4
530,13,15,13_15,8.888888888888974e-4
530,13,16,13_16,0.0016666666666666635
530,13,17,13_17,0.0017583333333333062
530,13,18,13_18,0.0017055555555555713
530,13,20,13_20,0.0017444444444444374
530,13,21,13_21,0.0017305555555555685
530,13,22,13_22,0.0019305555555555465
530,13,23,13_23,0.0019305555555555465
530,14,14,14_14,2.500000000000002e-4
530,14,15,14_15,8.277777777777814e-4
530,14,16,14_16,0.0013111111111110962
530,14,17,14_17,0.0014166666666666494
530,14,18,14_18,0.0012833333333333308
530,14,20,14_20,0.0014166666666666772
530,14,21,14_21,0.0014027777777777806
530,14,22,14_22,0.001452777777777775
530,14,23,14_23,0.001452777777777775
530,15,15,15_15,5.000000000000004e-4
530,15,16,15_16,6.333333333333468e-4
530,15,17,15_17,8.194444444444282e-4
530,15,18,15_18,7.222222222222352e-4
530,15,20,15_20,8.055555555555316e-4
530,15,21,15_21,8.055555555555594e-4
530,15,22,15_22,9.111111111110848e-4
530,15,23,15_23,9.111111111110848e-4
530,16,16,16_16,0
530,16,17,16_17,0
530,16,18,16_18,0
530,16,20,16_20,0
530,16,21,16_21,0
530,16,22,16_22,0
530,16,23,16_23,0
530,17,17,17_17,0
530,17,18,17_18,0
530,17,20,17_20,0
530,17,21,17_21,0
530,17,22,17_22,0
530,17,23,17_23,0
530,18,21,18_21,0
530,19,19,19_19,0
530,19,20,19_20,0
530,19,21,19_21,0
530,19,22,19_22,0
530,19,23,19_23,0
530,20,20,20_20,0
530,20,21,20_21,0
530,20,22,20_22,0
530,20,23,20_23,0
530,21,21,21_21,0
530,21,22,21_22,0
530,21,23,21_23,0
530,22,22,22_22,0
530,23,23,23_23,0
535,3,3,03_03,0
535,3,5,03_05,0
535,3,6,03_06,0
535,3,7,03_07,0
535,3,9,03_09,0
535,3,10,03_10,0
535,3,11,03_11,0
535,3,12,03_12,0
535,4,4,04_04,0
535,4,5,04_05,0
535,4,6,04_06,0
535,4,7,04_07,0
535,4,9,04_09,0
535,4,10,04_10,0
535,4,11,04_11,0
535,4,12,04_12,0
535,5,5,05_05,0
535,5,6,05_06,0
535,5,7,05_07,0
535,5,9,05_09,0
535,5,10,05_10,0
535,5,11,05_11,0
535,5,12,05_12,0
535,6,6,06_06,0
535,6,7,06_07,0
535,6,9,06_09,0
535,6,10,06_10,0
535,6,11,06_11,0
535,6,12,06_12,0
535,7,7,07_07,0
535,8,8,08_08,0
535,8,9,08_09,0
535,8,10,08_10,0
535,8,11,08_11,0
535,8,12,08_12,0
535,9,9,09_09,0
535,9,10,09_10,0
535,9,11,09_11,0
535,9,12,09_12,0
535,10,10,10_10,0
535,10,11,10_11,0
535,10,12,10_12,0
535,11,11,11_11,0
535,11,12,11_12,0
535,12,12,12_12,0
535,13,13,13_13,0
535,13,14,13_14,0.002438888888888893
535,13,15,13_15,0.00368333333333333
535,13,16,13_16,0.005024999999999988
535,13,17,13_17,0.00508055555555556
535,13,18,13_18,0.005025000000000002
535,13,20,13_20,0.005052777777777795
535,13,21,13_21,0.005052777777777795
535,13,22,13_22,0.005419444444444421
535,13,23,13_23,0.005419444444444421
535,14,14,14_14,0.0021666666666666674
535,14,15,14_15,0.003661111111111108
535,14,16,14_16,0.004169444444444448
535,14,17,14_17,0.0046527777777777835
535,14,18,14_18,0.004224999999999993
535,14,20,14_20,0.0046527777777777835
535,14,21,14_21,0.004652777777777728
535,14,22,14_22,0.005136111111111119
535,14,23,14_23,0.005136111111111119
535,15,15,15_15,0.001236111111111108
535,15,16,15_16,0.0017916666666666636
535,15,17,15_17,0.0019722222222222363
535,15,18,15_18,0.0018638888888888872
535,15,20,15_20,0.0019722222222222363
535,15,21,15_21,0.002066666666666661
535,15,22,15_22,0.0021499999999999853
535,15,23,15_23,0.0021499999999999853
535,16,16,16_16,0
535,16,17,16_17,0
535,16,18,16_18,0
535,16,20,16_20,0
535,16,21,16_21,0
535,16,22,16_22,0
535,16,23,16_23,0
535,17,17,17_17,0
535,17,18,17_18,0
535,17,20,17_20,0
535,17,21,17_21,0
535,17,22,17_22,0
535,17,23,17_23,0
535,18,21,18_21,0
535,19,19,19_19,0
535,19,20,19_20,0
535,19,21,19_21,0
535,19,22,19_22,0
535,19,23,19_23,0
535,20,20,20_20,0
535,20,21,20_21,0
535,20,22,20_22,0
535,20,23,20_23,0
535,21,21,21_21,0
535,21,22,21_22,0
535,21,23,21_23,0
535,22,22,22_22,0
535,23,23,23_23,0
540,3,3,03_03,0
540,3,5,03_05,0
540,3,6,03_06,0
540,3,7,03_07,0
540,3,9,03_09,0
540,3,10,03_10,0
540,3,11,03_11,0
540,3,12,03_12,0
540,4,4,04_04,0
540,4,5,04_05,0
540,4,6,04_06,0
540,4,7,04_07,0
540,4,9,04_09,0
540,4,10,04_10,0
540,4,11,04_11,0
540,4,12,04_12,0
540,5,5,05_05,0
540,5,6,05_06,0
540,5,7,05_07,0
540,5,9,05_09,0
540,5,10,05_10,0
540,5,11,05_11,0
540,5,12,05_12,0
540,6,6,06_06,0
540,6,7,06_07,0
540,6,9,06_09,0
540,6,10,06_10,0
540,6,11,06_11,0
540,6,12,06_12,0
540,7,7,07_07,0
540,8,8,08_08,0
540,8,9,08_09,0
540,8,10,08_10,0
540,8,11,08_11,0
540,8,12,08_12,0
540,9,9,09_09,0
540,9,10,09_10,0
540,9,11,09_11,0
540,9,12,09_12,0
540,10,10,10_10,0
540,10,11,10_11,0
540,10,12,10_12,0
540,11,11,11_11,0
540,11,12,11_12,0
540,12,12,12_12,0
540,13,13,13_13,0.0018388888888888864
540,13,14,13_14,0.009669444444444446
540,13,15,13_15,0.009822222222222232
540,13,16,13_16,0.011005555555555574
540,13,17,13_17,0.0108138888888889
540,13,18,13_18,0.011005555555555546
540,13,20,13_20,0.010522222222222183
540,13,21,13_21,0.010230555555555576
540,13,22,13_22,0.010647222222222252
540,13,23,13_23,0.010647222222222252
540,14,14,14_14,0.008591666666666664
540,14,15,14_15,0.009252777777777783
540,14,16,14_16,0.010319444444444464
540,14,17,14_17,0.010474999999999984
540,14,18,14_18,0.010275000000000006
540,14,20,14_20,0.010405555555555585
540,14,21,14_21,0.010405555555555529
540,14,22,14_22,0.010427777777777758
540,14,23,14_23,0.010427777777777758
540,15,15,15_15,0.0014861111111111117
540,15,16,15_16,0.002244444444444438
540,15,17,15_17,0.0027472222222222065
540,15,18,15_18,0.002327777777777776
540,15,20,15_20,0.0027333333333333654
540,15,21,15_21,0.002861111111111092
540,15,22,15_22,0.0029777777777777736
540,15,23,15_23,0.0029777777777777736
540,16,16,16_16,0
540,16,17,16_17,0
540,16,18,16_18,0
540,16,20,16_20,0
540,16,21,16_21,0
540,16,22,16_22,0
540,16,23,16_23,0
540,17,17,17_17,0
540,17,18,17_18,0
540,17,20,17_20,0
540,17,21,17_21,0
540,17,22,17_22,0
540,17,23,17_23,0
540,18,21,18_21,0
540,19,19,19_19,0
540,19,20,19_20,0
540,19,21,19_21,0
540,19,22,19_22,0
540,19,23,19_23,0
540,20,20,20_20,0
540,20,21,20_21,0
540,20,22,20_22,0
540,20,23,20_23,0
540,21,21,21_21,0
540,21,22,21_22,0
540,21,23,21_23,0
540,22,22,22_22,0
540,23,23,23_23,0
545,3,3,03_03,0
545,3,5,03_05,0
545,3,6,03_06,0
545,3,7,03_07,0
545,3,9,03_09,0
545,3,10,03_10,0
545,3,11,03_11,0
545,3,12,03_12,0
545,4,4,04_04,0
545,4,5,04_05,0
545,4,6,04_06,0
545,4,7,04_07,0
545,4,9,04_09,0
545,4,10,04_10,0
545,4,11,04_11,0
545,4,12,04_12,0
545,5,5,05_05,0
545,5,6,05_06,0
545,5,7,05_07,0
545,5,9,05_09,0
545,5,10,05_10,0
545,5,11,05_11,0
545,5,12,05_12,0
545,6,6,06_06,0
545,6,7,06_07,0
545,6,9,06_09,0
545,6,10,06_10,0
545,6,11,06_11,0
545,6,12,06_12,0
545,7,7,07_07,0
545,8,8,08_08,0
545,8,9,08_09,0
545,8,10,08_10,0
545,8,11,08_11,0
545,8,12,08_12,0
545,9,9,09_09,0
545,9,10,09_10,0
545,9,11,09_11,0
545,9,12,09_12,0
545,10,10,10_10,0
545,10,11,10_11,0
545,10,12,10_12,0
545,11,11,11_11,0
545,11,12,11_12,0
545,12,12,12_12,0
545,13,13,13_13,0.006305555555555561
545,13,14,13_14,0.011155555555555557
545,13,15,13_15,0.01109722222222223
545,13,16,13_16,0.011394444444444457
545,13,17,13_17,0.011900000000000022
545,13,18,13_18,0.011972222222222273
545,13,20,13_20,0.0118722222222222
545,13,21,13_21,0.011872222222222228
545,13,22,13_22,0.011891666666666634
545,13,23,13_23,0.011891666666666634
545,14,14,14_14,0.008261111111111115
545,14,15,14_15,0.008466666666666671
545,14,16,14_16,0.007919444444444465
545,14,17,14_17,0.009419444444444425
545,14,18,14_18,0.008583333333333346
545,14,20,14_20,0.009238888888888908
545,14,21,14_21,0.00948888888888888
545,14,22,14_22,0.00968333333333335
545,14,23,14_23,0.00968333333333335
545,15,15,15_15,0.0017500000000000016
545,15,16,15_16,0.003272222222222232
545,15,17,15_17,0.0035861111111111232
545,15,18,15_18,0.003419444444444447
545,15,20,15_20,0.0037694444444444364
545,15,21,15_21,0.0037694444444444086
545,15,22,15_22,0.0037916666666666654
545,15,23,15_23,0.0037916666666666654
545,16,16,16_16,0
545,16,17,16_17,2.2222222222222088e-5
545,16,18,16_18,0
545,16,20,16_20,2.2222222222229027e-5
545,16,21,16_21,2.2222222222229027e-5
545,16,22,16_22,2.7777777777765467e-5
545,16,23,16_23,2.7777777777765467e-5
545,17,17,17_17,0
545,17,18,17_18,0
545,17,20,17_20,2.2222222222229027e-5
545,17,21,17_21,2.2222222222242904e-5
545,17,22,17_22,2.7777777777779344e-5
545,17,23,17_23,2.7777777777779344e-5
545,18,21,18_21,0
545,19,19,19_19,0
545,19,20,19_20,0
545,19,21,19_21,0
545,19,22,19_22,0
545,19,23,19_23,0
545,20,20,20_20,0
545,20,21,20_21,0
545,20,22,20_22,0
545,20,23,20_23,0
545,21,21,21_21,0
545,21,22,21_22,0
545,21,23,21_23,0
545,22,22,22_22,0
545,23,23,23_23,0
550,3,3,03_03,0
550,3,5,03_05,0
550,3,6,03_06,0
550,3,7,03_07,0
550,3,9,03_09,0
550,3,10,03_10,0
550,3,11,03_11,0
550,3,12,03_12,0
550,4,4,04_04,0
550,4,5,04_05,0
550,4,6,04_06,0
550,4,7,04_07,0
550,4,9,04_09,0
550,4,10,04_10,0
550,4,11,04_11,0
550,4,12,04_12,0
550,5,5,05_05,0
550,5,6,05_06,0
550,5,7,05_07,0
550,5,9,05_09,0
550,5,10,05_10,0
550,5,11,05_11,0
550,5,12,05_12,0
550,6,6,06_06,0
550,6,7,06_07,0
550,6,9,06_09,0
550,6,10,06_10,0
550,6,11,06_11,0
550,6,12,06_12,0
550,7,7,07_07,0
550,8,8,08_08,0
550,8,9,08_09,0
550,8,10,08_10,0
550,8,11,08_11,0
550,8,12,08_12,0
550,9,9,09_09,0
550,9,10,09_10,0
550,9,11,09_11,0
550,9,12,09_12,0
550,10,10,10_10,0
550,10,11,10_11,0
550,10,12,10_12,0
550,11,11,11_11,0
550,11,12,11_12,0
550,12,12,12_12,0
550,13,13,13_13,0.009044444444444438
550,13,14,13_14,0.011819444444444452
550,13,15,13_15,0.012983333333333333
550,13,16,13_16,0.01402500000000001
550,13,17,13_17,0.015669444444444458
550,13,18,13_18,0.013969444444444479
550,13,20,13_20,0.015669444444444486
550,13,21,13_21,0.01557222222222221
550,13,22,13_22,0.015749999999999986
550,13,23,13_23,0.015749999999999986
550,14,14,14_14,0.008947222222222224
550,14,15,14_15,0.00997222222222223
