fips,is_hov,trips,users,revenue,am_peak_trips,pm_peak_trips,rev_comm_trips,off_peak_trips,vmt,savings,reliability,savings_benefit,reliability_benefit,total_benefit,net_benefit,county,tract,households,population,mean_inc,race_nonhisp_asian,race_nonhisp_white
530330323072,1,34,26,0,3,6,4,20,192.35,2.9171388888888883,2.362797222222223,155.14064353944858,62.5830827361861,217.72372627563468,217.72372627563468,King,53033032307,360,1028,198124.15555555557,0,0.8346303501945526
530330323073,0,141,79,338.25,19,36,21,62,869.57,7.573333333333334,4.369591666666667,402.7685522781576,115.73676920999445,518.505321488152,180.25532148815205,King,53033032307,499,1629,159044.59118236473,0.056476365868631064,0.8612645794966237
530330323073,1,80,54,0,8,21,18,29,438.23,7.222138888888887,4.810816666666668,384.09116522397335,127.42343466760124,511.51459989157456,511.51459989157456,King,53033032307,499,1629,159044.59118236473,0.056476365868631064,0.8612645794966237
530330323074,0,114,57,268,15,34,18,41,617.77,NA,NA,NA,NA,NA,NA,King,53033032307,384,1225,207592.83854166666,0,0.9175510204081633
530330323074,1,54,37,0.75,5,17,8,24,256.21,6.421388888888885,3.435152777777778,341.5053045413058,90.98641579615288,432.4917203374587,431.7417203374587,King,53033032307,384,1225,207592.83854166666,0,0.9175510204081633
530330323075,0,43,29,111.5,6,12,7,17,235.93,2.2943888888888884,1.2337055555555556,122.0212620344456,32.67698816016477,154.69825019461035,43.19825019461035,King,53033032307,353,884,112961.67705382436,0.014705882352941176,0.9015837104072398
530330323075,1,16,8,0,4,2,3,6,78.47,2.193055555555555,0.7963805555555556,116.63210534903364,21.09362146233965,137.72572681137328,137.72572681137328,King,53033032307,353,884,112961.67705382436,0.014705882352941176,0.9015837104072398
530330323091,0,74,35,220.75,25,11,6,31,461.56,5.824833333333334,1.3818111111111113,309.779008221156,36.599839494950366,346.37884771610635,125.62884771610635,King,53033032309,809,1572,115183.49072929543,0.2875318066157761,0.5082697201017812
530330323091,1,38,12,0,9,11,4,13,227.26,7.502555555555554,2.690866666666667,399.00441542661423,71.27261266781993,470.2770280944342,470.2770280944342,King,53033032309,809,1572,115183.49072929543,0.2875318066157761,0.5082697201017812
530330323092,0,142,83,334.25,23,31,29,58,910.66,7.515166666666665,3.979247222222223,399.6751054307746,105.39776997953923,505.0728754103138,170.82287541031383,King,53033032309,2164,3885,122898.13308687616,0.40077220077220077,0.47644787644787645
530330323092,1,75,39,0,9,17,10,37,451.99,11.359361111111108,5.049886111111113,604.1188507298007,133.75563392729447,737.8744846570951,737.8744846570951,King,53033032309,2164,3885,122898.13308687616,0.40077220077220077,0.47644787644787645
530330323093,0,50,35,100.25,6,11,18,15,293.44,2.1752499999999992,1.4167055555555563,115.68516197311557,37.52408381145844,153.20924578457402,52.95924578457402,King,53033032309,751,2002,176621.18508655127,0.3211788211788212,0.6378621378621379
530330323093,1,24,16,0,3,4,3,14,136.20000000000002,2.701500000000002,1.464955555555556,143.6724353846096,38.80207487798804,182.47451026259765,182.47451026259765,King,53033032309,751,2002,176621.18508655127,0.3211788211788212,0.6378621378621379
530330323111,0,56,38,115.5,10,18,4,24,265.94,2.56838888888889,1.621455555555556,136.5932580719741,42.947268699996,179.54052677197012,64.04052677197012,King,53033032311,475,1145,211456.1894736842,0.050655021834061134,0.8218340611353712
530330323111,1,32,17,1.75,4,8,5,14,123.22,2.9806666666666652,2.064125,158.51920750313747,54.672192957521915,213.1914004606594,211.4414004606594,King,53033032311,475,1145,211456.1894736842,0.050655021834061134,0.8218340611353712
